[2026-01-03 16:39:48] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-01-03 16:39:48] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-01-03 16:39:48] [DEBUG   ] discord.client: Dispatching event ready
[2026-01-03 16:39:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '775197271641817108', 'timestamp': 1767472797, 'member': {'user': {'username': 'shevan_nadiranga', 'public_flags': 0, 'primary_guild': None, 'id': '775197271641817108', 'global_name': 'shevannadiranga', 'display_name_styles': None, 'display_name': 'shevannadiranga', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '215ceff2fc440da2f5c6ca2d23aa7476'}, 'roles': ['1457105391430406267'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-03T19:44:11.822000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1457097234251517975', 'guild_id': '1457097232078606491'}}
[2026-01-03 16:39:53] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-03 16:39:53] [DEBUG   ] discord.client: Dispatching event typing
[2026-01-03 16:39:53] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-01-03 16:39:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-01-03T20:40:03.325000+00:00', 'pinned': False, 'nonce': '1457111272888729600', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1457105391430406267'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-03T19:44:11.822000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1457111289875791933', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll im the best?', 'components': [], 'channel_type': 0, 'channel_id': '1457097234251517975', 'author': {'username': 'shevan_nadiranga', 'public_flags': 0, 'primary_guild': None, 'id': '775197271641817108', 'global_name': 'shevannadiranga', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '215ceff2fc440da2f5c6ca2d23aa7476'}, 'attachments': [], 'guild_id': '1457097232078606491'}}
[2026-01-03 16:39:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-03 16:39:59] [DEBUG   ] discord.client: Dispatching event message
[2026-01-03 16:39:59] [DEBUG   ] discord.client: Dispatching event command
[2026-01-03 16:39:59] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 8, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-01-03T20:40:03.545000+00:00', 'pinned': False, 'nonce': '12592126287017193759', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1457097339276890226'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-01-03T19:44:37.333887+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1457111290798674091', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1457111290798674092', 'description': 'im the best?', 'content_scan_version': 0}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1457097234251517975', 'author': {'username': 'YoutubeChecker', 'public_flags': 0, 'primary_guild': None, 'id': '1457094534532956170', 'global_name': None, 'display_name_styles': None, 'discriminator': '2613', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'cf5244011b5064750f23c30a3be73612'}, 'attachments': [], 'guild_id': '1457097232078606491'}}
[2026-01-03 16:39:59] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-01-03 16:39:59] [DEBUG   ] discord.client: Dispatching event message
[2026-01-03 16:39:59] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1457097234251517975/messages with {"embeds":[{"flags":0,"type":"rich","description":"im the best?","title":"New Poll"}],"content":null,"components":[],"nonce":"12592126287017193759","enforce_nonce":true,"tts":false} has returned 200
[2026-01-03 16:39:59] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2026-01-03 16:39:59] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1457097234251517975/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'im the best?', 'content_scan_version': 0}], 'timestamp': '2026-01-03T20:40:03.545000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1457111290798674091', 'channel_id': '1457097234251517975', 'author': {'id': '1457094534532956170', 'username': 'YoutubeChecker', 'avatar': 'cf5244011b5064750f23c30a3be73612', 'discriminator': '2613', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '12592126287017193759'}
